tweet_id,tweet_text,label
'592326564110585856',rt @divyaconnects: reached kathmandu finally lots of indians stranded at the airport nepalquake @bbchindi http://tco/frpbu9ackz,other_useful_information
'592616512642420737',fears for foreigners missing in nepal earthquake as death toll soars:,missing_trapped_or_found_people
'592686635520827393',rt @parisburned: 3700 people dead is absolutely devastating for a country that is the size of oklahoma on the map nepal,injured_or_dead_people
'593301431366635520',earthquake in nepal - please help kapil crowdfunding fundrazr support and retweet http://tco/mfeyq85js9 via mechanismofwar,donation_needs_or_offers_or_volunteering_services
'592590231519555584',nepals slowing economy set for freefall without worlds help http://tco/kszimvhgqf via @business,other_useful_information
'592637329786830848',rt @cuteinsan: in this horrible situation in nepal our god @gurmeetramrahim can help pita ji they really need your simpathy msghelpearth,sympathy_and_emotional_support
'592955183753203715',video report kathmandu overwhelmed by rubble after earthquake http://tco/cyrabg1oxz over 3000 dead 6500 plus injured nepalearthquake,injured_or_dead_people
'593831023286288386',rt @discovery: the people of nepal need your help find out how you can support relief efforts &gt;&gt; http://tco/i4dobdcjyf http://tco/evgc7,donation_needs_or_offers_or_volunteering_services
'592877872538324993',rt @revolutionmonk: vultureevangelists most disgusting creature on earth msm wont show this side of em soulvultures nepalearthquake ht,not_related_or_irrelevant
'592645748459708416',nepal earthquake deathtoll rises to 3729 nepalearthquake prayfornepal earthquake,injured_or_dead_people
'593817049647820802',rt @refugees: our aid lorries delivered nepalearthquake relief by hand where landslides prevented vehicle access http://tco/wppfsxobw6,donation_needs_or_offers_or_volunteering_services
'593470045814181888',food crisis imminent for 14 million ppl in kathmandu how long would you last without food in the markets and water from the tap,other_useful_information
'593155728128516097',canadian phone companies waive fees for calls to nepal - the globe and mail http://tco/y0fpu1egis,other_useful_information
'592329933268996096',"rt @mrsgandhi: word ""@heisenjit: ramdev in nepal helping people thats more of quality work than the people talking ill about him most o",donation_needs_or_offers_or_volunteering_services
'593609036144214016',rt @xuscasoleny: https://tco/o1rqfccmkm dont believe earthquakes happen naturally not from mother nature theyre provoked avoid other ,other_useful_information
'592748010221740032',death toll soars to over 4000; quake-aid need acute in nepal capital more so in villages http://tco/xkr9vdxbnb via @yahoonews,injured_or_dead_people
'592341651512659968',rt @siobhanheanue: kathmandu quake aftermath clearing rubble to search for survivors http://tco/oasyanweip,other_useful_information
'592380152480313344',its time to reinforce our rltns with nepalstand by their sidelets use our exprince in kashmiryemen and utrkhnd- go @pmoindia @meaindia,sympathy_and_emotional_support
'597666520702025728',rt @ewnreporter: nepalquake this is the team heading to nepal ml http://tco/pxsfvmojdy,donation_needs_or_offers_or_volunteering_services
'593719989972013056',@timesofindia whole world is watching great work of @rss_org in nepal we are proud on rss,other_useful_information
'592321122906935297',rt @elscantvicious: pray for nepal,sympathy_and_emotional_support
'592344656286908416',rt @hmoindia: bureau of immigration has been instructed by the hm to give gratis visas to all tourists stranded in nepal who are coming to ,caution_and_advice
'593145585206632449',rt @rishibagree: instead of food  medicine or tents ford foundation have sent 100000 copies of bible to nepals starving citizens http://,donation_needs_or_offers_or_volunteering_services
'592314725003722753',teamyamita reporters notebook: grace and hope found amid the destruction of nepal quake: http://tco/mxf3n4lkqh unete a teamyamita,sympathy_and_emotional_support
'592344219701784576',rt @sarahslassez: my parents are in nepal catherine and jean-louis lassez please help find them nepal redcross nepalearthquake http://t,missing_trapped_or_found_people
'592326586436820992',wow praying for the people affected by the massive earthquake in nepal 4c,sympathy_and_emotional_support
'592208578728984577',rt @jaifletcher829: thought are with people of nepal ,sympathy_and_emotional_support
'592310973039550464',rt @pakistannews: pakistans two aid planes reach nepal - nation http://tco/xhuzdxfftn,donation_needs_or_offers_or_volunteering_services
'592909991968960512',nepal earthquake: operation maitri provides succor http://tco/vtmxbw7qwm,donation_needs_or_offers_or_volunteering_services
'593186333348114434',rt @bjprajnathsingh: the ndrf indian army and other forces are doing a remarkable job in nepal,other_useful_information
'593380623923941376',aid with strings aftermath of nepals earthquake exposes asias geopolitical fault lines http://tco/m744ujsdix,donation_needs_or_offers_or_volunteering_services
'591940933039427584',rt @economictimes: foreign secy s jaishankar: we will have 5 helicopters positioned in kathmandu as part of our rescue ops nepalquake http,displaced_people_and_evacuations
'592700745964756992',rt @americamag: quake toll rises in nepal as pope francis offers prayers for victims http://tco/xni4ezxti4 http://tco/elmxxxbtxn,sympathy_and_emotional_support
'592111870376419328',rt @liaqatali2015: 28/48 handful of people will believe in the religion of god and adopt divine love the greater majority of people will e,not_related_or_irrelevant
'592339417756348416',followme ff rt indian carriers cap fares to and from nepal: in a bid to pull out as man http://tco/zgh0reypd4 followback follow,displaced_people_and_evacuations
'592131874014629888',why nepal gets such big earthquakes (+video) - christian science monitor: christian science monitorwhy nepal g http://tco/r0upsqxm21,not_related_or_irrelevant
'592648766169026561',rt @telegraphnews: mount everest disaster: british woman escaped death by outrunning avalanche http://tco/wbfsdta5pv http://tco/7kmibjf,missing_trapped_or_found_people
'592137499322941440',add hit songs to your videos - free app today http://tco/dj1dkaukxf nepal,not_related_or_irrelevant
'592627603317641216',israel evacuates surrogate-born babies and israeli parents from nepal see more:http://tco/ltjn9qqzaj world news  http://tco/8xheqvgakw,displaced_people_and_evacuations
'593154950470848512',rt @time: see indias rescue operations in the villages most affected by nepals deadly earthquake http://tco/tcirp7hcer http://tco/lcmdo,other_useful_information
'592378631738949632',rt @bbcsanjoym: and another - bit longer - tremor nepalearthquake,other_useful_information
'593279330186178560',rt @curiousgawker: donate to nepal if you havent disease usually follows earthquakes,donation_needs_or_offers_or_volunteering_services
'592340850090225666',rt @habibies: before and after of nepalearthquake pray for nepal nepalquake earthquake http://tco/9brmfn4gev,sympathy_and_emotional_support
'592720104372183040',check the cluster and coordiantionget meetings in nepal on nepalearthquake starting april 27th ; http://tco/oiwypybrxe,not_related_or_irrelevant
'592219472968097792',nepalearthquake death toll officially 2000+ officially announced @ibnkhabar @ibnlive @omar_quraishi @nanditathhakur @india_msm @vibhask1,injured_or_dead_people
'592153082634481664',rt @indiabtl: death toll rises to 870 makes our heart sink emergency declared in nepal pls contribute to pms relief fund here- https://,injured_or_dead_people
'592655359115952128',@pinedaj87 write to: nepalemergencyusc@stategov for questions on us citizens affected nepalquake or call: 18884074747 or +12025014444,other_useful_information
'592329254882381825',rt @projectpakistan: pak dispatches four c-130 planes carrying a 30-bed field hospital medical teamss &amp; r relief supplies to nepal ht,donation_needs_or_offers_or_volunteering_services
'592338913575837697',rt @ksushma140: nepal govt has asked india for help with respect to rescue &amp; medical teams msghelpearthquakevictims http://tco/venxtcf,donation_needs_or_offers_or_volunteering_services
